20230907	14:35:58	28bc2c8b-0ef6-401c-a0df-4ca6ba362a09	/data/data.json	GET
20230907	14:36:09	7386213f-5320-4cf0-8a77-e6b28b5be154	/	GET
20230907	14:38:11	be639cba-a2ba-4501-808e-a4218f76b919	/	GET
20230908	00:38:04	26b43baf-56a5-4fd1-ab0a-53550666510c	GET	undefined	/css/style.css
20230908	23:34:28	49aabc97-b990-4595-8fed-e9737366f654	GET	undefined	/
20230908	23:34:28	24ce8fb8-04dc-4ac7-a407-bd7470cc3135	GET	undefined	/css/style/css
20230908	23:34:28	43f5acdd-b719-4e46-93e0-33828f83e53d	GET	undefined	/favicon.ico
20230908	23:36:08	61d556c3-78c7-4998-b132-e9f5e97407e5	GET	undefined	/subdir
20230908	23:36:45	3ad1fc7d-ea29-440e-8eeb-e18dc7661169	GET	undefined	/subdir/test
20230908	23:38:38	9fb8f559-3216-431d-ae3a-5ac71bd3bcd4	GET	undefined	/subdir/tests
20230908	23:38:38	01a1633b-7559-4cb1-8897-c44d5ef71fc7	GET	undefined	/subdir/css/style.css
20230908	23:50:17	8ccb578b-7d7a-4d26-8f4f-e3fc555caeb2	GET	undefined	/subdir/tests
20230908	23:50:17	adc7214a-3151-4752-8776-17620fd85d09	GET	undefined	/subdir/css/style.css
20230908	23:50:19	f30d0929-584b-4f2f-8a41-e88a137cf37e	GET	undefined	/subdir/tests
20230908	23:50:19	5eb175c5-04d9-46c5-94b4-d0313ce89f36	GET	undefined	/subdir/css/style.css
20230908	23:50:20	ddf3aa9a-5cc7-4f8e-97be-a0d88e17acbf	GET	undefined	/subdir/tests
20230908	23:50:20	8020d725-a35e-4d9e-8a4f-f3eae4e41938	GET	undefined	/subdir/css/style.css
20230908	23:50:27	dcac82f9-3911-4a72-b600-141f164d24d3	GET	undefined	/
20230908	23:50:27	8a73e8c7-2e4f-4bd2-a61b-3725ec00d67a	GET	undefined	/css/style/css
20230909	00:25:16	c0806c13-4a95-4716-b2b6-abd6cec6ae4f	GET	undefined	/
20230909	00:25:16	4b827a45-07e6-4444-8aa6-34b3c7247a15	GET	undefined	/css/style/css
20230909	00:25:27	e570008c-bfc0-45c7-b0dc-4f0f46afd278	GET	undefined	/employee
20230909	00:25:27	27537c76-ba6c-4efd-83aa-270397f1c2ee	GET	undefined	/css/style.css
20230909	00:27:20	b78f1a07-6ade-4401-b993-15818e34acfb	GET	undefined	/employees
20230909	00:27:36	be20cb41-35d0-41c8-b7a2-1f87927ac7d7	GET	undefined	/employees
20230909	00:28:06	9976d24d-0df5-4d1f-96af-415ec5d26084	GET	undefined	/employees/1
20230909	00:28:49	d7c518eb-a0fe-4eea-b17d-a0e1bcc64480	POST	undefined	/employees
20230909	00:29:49	f2ebcd0a-1860-464e-b471-386cde937080	POST	undefined	/employees
20230909	00:31:06	626b9ee9-2c0e-48b3-96d3-ece10b7bd4aa	GET	undefined	/employees/1
20230909	00:32:07	1883ebce-b80c-405b-bab7-c78a5eb82f66	GET	undefined	/employees/1
20230909	00:32:08	2e72ed71-ae3c-41fe-aa1b-c6e04cfcb550	GET	undefined	/employees/1
20230909	00:32:09	9a9562cd-4cc9-4c73-bce3-6e99818ade9d	GET	undefined	/employees/1
20230909	00:32:09	86bb2345-8c41-4601-b5ad-1974c000af22	GET	undefined	/employees/1
20230909	00:32:09	fa729c98-b156-437c-b026-a4ed050fde14	GET	undefined	/employees/1
20230909	00:34:41	b6ef76ea-b740-4eb4-b057-1ad030a2e7ae	GET	undefined	/employees/1
20230909	02:11:46	c6b6ee9a-73ed-44e7-9190-c489bded55ea	GET	undefined	/employees
20230909	14:13:00	ec98fe06-b7fb-488d-9b56-647eef356e53	GET	undefined	/employees
20230909	14:14:38	15e51a98-bcb9-469a-a525-edafebdb00b4	GET	undefined	/employees
20230909	14:18:30	02dd2108-dbca-46f8-8784-b70613a1aa96	GET	undefined	/employees
20230909	14:20:53	9d08a53c-41da-41a6-b742-cf1438850690	GET	undefined	/employees
20230909	14:22:22	0767179e-49d5-45b8-96c4-9645beac7084	GET	undefined	/employees
20230909	14:22:42	fd50e046-6fab-46ba-a198-d410833898bc	GET	undefined	/
20230909	14:23:20	abc85548-2ed6-4964-8559-532c331df751	GET	undefined	/1
20230909	14:35:56	8994cfb1-fcd9-42ac-a7d4-fa5345c198a7	GET	undefined	/employees
20230909	14:36:17	5e83f426-65bc-4349-bcc9-1a9b0ca65f35	GET	undefined	/employees/
20230909	14:36:24	a16b0f25-6fe3-4280-8b8d-2060fae3c2d1	GET	undefined	/employees
20230909	14:37:04	f627b770-a9b2-4375-bb43-de1c2c7d5a39	POST	undefined	/employees
20230909	14:37:22	b02d75d0-69ca-49f3-b07a-8449a1d2d418	POST	undefined	/employees
20230909	14:39:05	0be33d8e-af3b-4e71-a26c-7b225a5cd849	PUT	undefined	/employees
20230909	14:39:25	cb3d331c-408c-4928-8386-8149645d1c43	PUT	undefined	/employees
20230909	14:40:16	54552800-71ae-40aa-8fcf-0e027f0efb2c	DELETE	undefined	/employees
20230909	14:40:34	ff395f5c-a7f8-4490-aa7c-59033ba66bf2	DELETE	undefined	/employees/1
20230909	14:52:17	f4a4fac2-cf34-4351-ab17-52c26838fbed	DELETE	undefined	/employees/1
20230909	14:52:28	7c04d475-3194-451e-8b18-02b06aa9b6ef	GET	undefined	/employees/1
20230909	14:52:31	d9321248-3825-4c48-8879-6fa17868008a	GET	undefined	/employees/1
20230909	14:52:41	2aec6ec1-d225-4d14-944f-a3f56774299c	GET	undefined	/employees
20230909	14:52:43	fa59a774-ad65-481c-977f-c01e172d2f0e	GET	undefined	/employees
20230909	14:52:57	d25fa374-231c-4235-8fea-90e1b4d24b26	GET	undefined	/employees/
20230909	14:53:03	e6acf4af-9c27-4495-8d88-b1591421b53e	GET	undefined	/
20230909	14:53:04	b4f97df4-5396-4cbf-8b38-0ec86ea5c566	GET	undefined	/
20230909	14:53:13	922d1328-857b-4e65-966b-f9cd1bcead30	GET	undefined	/employees
20230909	16:35:50	436e9fcc-6f0b-46ee-b769-8e87a7af9f5f	POST	undefined	/register
20230909	16:37:11	5973eb66-c876-44c4-a7a9-ae2b965fe883	POST	undefined	/register
20230909	16:38:16	aa20d518-b40d-4fd4-b724-042d4c990a5d	POST	undefined	/register
20230909	16:55:26	98a83eca-36b2-4332-84b2-234f0a6cfdfe	POST	undefined	/rauth
20230909	16:55:30	e62843e8-f167-4221-9b94-cb242a0d3c34	POST	undefined	/auth
20230909	16:55:59	9ab8e14e-2857-4720-9c35-6d6eb6d0f8b6	POST	undefined	/auth
20230909	23:17:04	063a6b10-1b72-424a-a3fa-4bda907452c7	POST	undefined	/auth
20230909	23:17:22	08df4b68-97a1-40be-bdd4-88e75d230450	POST	undefined	/auth
20230909	23:18:07	4421b247-4447-4f93-bc9a-675a507ecae5	POST	undefined	/employees
20230909	23:18:59	5c0d157f-d0af-423f-acca-2e42900c59da	POST	undefined	/employees
20230909	23:36:06	3aa89d19-f634-4f47-9097-054ffbfebfb2	GET	undefined	/employees
20230909	23:36:18	d2aba4a2-2663-43ff-974f-729dc9ff9e62	GET	undefined	/employees
20230909	23:36:52	91ac0e34-e108-454d-aa72-d1f458edacd6	POST	undefined	/employees
20230910	01:08:09	2e6425f5-0056-4731-a897-ef1a7b29323f	GET	undefined	/employees
20230910	01:08:09	6c9b4dff-12b4-4188-9b48-ce4e8252ae2f	GET	undefined	/css/style.css
20230910	01:08:09	4747fabf-b3c6-4141-b2e5-5ab8208aef82	GET	undefined	/favicon.ico
